PID	Status	Label
1556	0	com.apple.replayd
1579	0	com.apple.coreservices.uiagent
1441	0	com.apple.icloud.searchpartyuseragent
2046	0	com.apple.AccessibilityVisualsAgent
1885	0	com.apple.Siri.agent
-	0	com.apple.installd.user
24590	0	com.apple.privatecloudcomputed
1456	0	com.apple.textunderstandingd
1548	0	com.apple.liveactivitiesd
1582	0	com.apple.akd
1909	0	com.apple.CallHistoryPluginHelper
1805	0	com.apple.jetpackassetd
1617	0	com.apple.homeeventsd
1778	0	com.apple.GamePolicyAgent
-	0	com.apple.mbproximityhelper
11786	0	application.com.apple.Notes.1152921500311894404.1152921500311894409
1512	0	com.apple.appplaceholdersyncd
1863	0	com.apple.storeaccountd
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
1402	0	com.apple.cmio.ContinuityCaptureAgent
-	0	com.apple.mbfloagent
-	0	com.apple.searchtoold
-	0	com.apple.printtool.agent
-	0	com.apple.callintelligenced
-	0	com.hnc.Discord.ShipIt
1490	0	com.apple.askpermissiond
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
1623	0	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
1447	0	com.apple.FeatureAccessAgent
9420	0	com.apple.storeuid
18526	1	ai.hermes.gateway
3967	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
1698	0	com.apple.CryptoTokenKit.ahp.agent
1916	0	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
28030	0	com.apple.remindd
-	0	com.apple.appsleep
1527	0	com.apple.duetexpertd
1605	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
1693	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
1755	0	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
1408	0	com.apple.containermanagerd
1901	0	com.apple.SafeEjectGPUService
1491	0	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
-	0	com.apple.Notes.datastore
2011	0	com.apple.webkit.webpushd
2033	0	com.apple.weatherd
1462	0	com.apple.cache_delete
6496	0	homebrew.mxcl.openhab
-	0	com.apple.symptomsd-diag.agent
1877	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
1607	0	com.apple.CallHistorySyncHelper
10891	0	com.apple.colorsync.useragent
1516	0	com.apple.analyticsagent
8626	0	application.com.apple.Safari.45899.46783
1453	0	com.apple.appleaccountd
1536	0	com.apple.parsecd
25653	0	com.apple.mlruntimed
1866	0	com.apple.Dock.agent
39791	0	com.apple.parsec-fbf
1494	0	com.apple.dmd
1493	0	com.apple.transparencyd
-	0	com.apple.usbnotificationagent
1566	0	com.apple.AppSSOAgent
15373	0	com.apple.mbuseragent
-	0	com.apple.security.cloudkeychainproxy3
1397	0	com.apple.UserEventAgent-Aqua
1511	0	com.apple.managedcorespotlightd.<UUID-REDACTED>
1452	0	com.apple.followupd
1429	0	com.apple.identityservicesd
1416	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
1479	0	com.apple.generativeexperiencesd
11188	0	com.apple.ScreenTimeSettingsAgent
2677	0	com.apple.XProtect.agent.scan
1809	0	com.apple.storekitagent
1906	0	com.apple.security.DiskUnmountWatcher
1438	0	com.apple.CoreLocationAgent
-	0	com.apple.StorageManagement.Service
-	0	com.apple.securemessagingagent
1781	0	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
1630	0	com.apple.backgroundtaskmanagement.agent
-	0	com.apple.intelligenceflowd
4149	0	com.apple.icloudwebd
31234	0	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
29283	-15	com.robinco.auto-trader.api
11679	0	com.apple.feedbackd
-	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
1550	0	com.apple.BTServer.cloudpairing
-	0	com.apple.managedcorespotlightd
1449	0	com.apple.coreservices.sharedfilelistd
1406	0	com.apple.pboard
10200	0	com.apple.nowplayingtouchui
1789	0	com.apple.MobileAccessoryUpdater.fudHelperAgent
2022	0	com.apple.reversetemplated
28029	0	application.com.apple.iCal.1152921500311883074.1152921500311883092
2043	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
1423	0	com.apple.rapportd
1645	0	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.mdworker.single.arm64
-	0	com.apple.ContainerMigrationService
1393	0	com.apple.secd
1519	0	com.apple.hiservices-xpcservice
25674	0	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
11187	0	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
-	0	com.apple.IOUIAgent
1467	0	com.apple.neagent.<UUID-REDACTED>
-	0	com.apple.previewshellapp
26041	0	com.apple.managedappdistributionagent
1437	0	com.apple.accountsd
1463	0	com.apple.cdpd
1833	0	com.apple.routined
1518	0	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
-	0	com.apple.ecosystemagent
1411	0	com.apple.BiomeAgent
-	0	com.apple.storelegacy
-	0	com.apple.OSDUIHelper
1558	0	com.apple.audio.AudioComponentRegistrar
1798	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
1879	0	com.apple.lockoutagent
96513	-15	com.robinco.prefect.server
-	0	com.apple.videosubscriptionsd
1539	0	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
1546	0	com.apple.notificationcenterui.agent
1780	0	com.apple.protectedcloudstorage.protectedcloudkeysyncing
1574	0	com.apple.imklaunchagent
1458	0	com.apple.FileProvider
32503	-15	com.paperclip.server
1704	0	com.apple.imcore.imtransferagent
1555	0	com.apple.mobiletimerd
-	0	com.apple.btsa
1886	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
25650	0	com.apple.EscrowSecurityAlert
1628	0	com.apple.MTLAssetUpgraderD
-	0	com.apple.ptpcamerad
2434	0	com.apple.metadata.mdwrite
8323	0	com.robinco.server-mode.caffeinate
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	0	com.apple.dt.previewsviewservice
-	0	com.apple.spotlightknowledged
-	0	com.apple.securityuploadd
1647	0	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
1465	0	com.apple.siriknowledged
11178	0	com.apple.powerchime
1603	0	com.apple.sharingd
1804	0	com.apple.seserviced
-	78	com.apple.mobilerepaird
-	0	com.apple.iCloudUserNotificationsd
10893	0	com.apple.metrickitd
-	0	com.apple.storeassetd
1499	0	com.apple.familycircled
1484	0	com.apple.filevaultd
-	0	com.apple.FontRegistryUIAgent
27584	0	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
1722	0	com.apple.TextInputSwitcher
1549	0	com.apple.intelligentroutingd
25675	0	com.apple.AMPArtworkAgent
1475	0	com.apple.imagent
56497	0	homebrew.mxcl.postgresql@17
2042	0	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
1504	0	com.apple.assistant_cdmd
1581	0	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
25652	0	com.apple.imautomatichistorydeletionagent
1867	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
1554	0	com.apple.talagent
1911	0	com.apple.suggestd
-	0	com.apple.navd
-	0	com.apple.appleidsetupd
85760	0	com.apple.RemoteDesktop.agent
1517	0	com.apple.iCloudNotificationAgent
1492	0	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
1845	0	com.apple.Maps.mapssyncd
30497	0	com.apple.swtransparencyd
-	0	com.apple.gputoolsserviced
1432	0	com.apple.usernotificationsd
1865	0	com.apple.FamilyControlsAgent
2256	0	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
40181	0	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
1819	0	com.apple.keychainsharingmessagingd
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
25673	0	com.apple.podcasts.PodcastContentService
1466	0	com.apple.CoreAuthentication.agent
1488	0	com.apple.assistantd
